DIREÇÃO	Definir prioridades estratégicas
DIREÇÃO	Tomar decisões estruturantes
DIREÇÃO	Aprovar planos, posições e orientações críticas
DIREÇÃO	Deliberar sobre matérias sensíveis ou de maior impacto
DIREÇÃO	Validar iniciativas estratégicas, sensíveis, de risco reputacional, jurídico ou financeiro relevante
DIREÇÃO	Aprovar parcerias, posicionamentos e compromissos institucionais críticos
DIREÇÃO	Definir critérios de prioridade entre projetos concorrentes
DIREÇÃO	Acompanhar o alinhamento global da associação com a missão
DIREÇÃO	Rever periodicamente a estratégia e os objetivos anuais
COORDENAÇÃO	Articular áreas e responsáveis
COORDENAÇÃO	Acompanhar execução transversal
COORDENAÇÃO	Controlar o trabalho em curso
COORDENAÇÃO	Identificar bloqueios, atrasos e dependências
COORDENAÇÃO	Reportar à Direção
COORDENAÇÃO	Traduzir decisões da Direção em planos de execução
COORDENAÇÃO	Garantir follow-up de tarefas e prazos
COORDENAÇÃO	Assegurar que nada crítico fica sem responsável
COORDENAÇÃO	Coordenar iniciativas que envolvem várias áreas
COORDENAÇÃO	Sinalizar riscos operacionais e necessidades de reforço
COORDENAÇÃO	Organizar informação de estado da associação
COORDENAÇÃO	Preparar sínteses executivas para apoio à decisão
ASSOCIADOS	Operacionalizar conversão e retenção de associados
ASSOCIADOS	Validar inscrições
ASSOCIADOS	Fazer onboarding (boas vindas + ativar portal)
ASSOCIADOS	Apoiar associados
ASSOCIADOS	Gerir a relação funcional com os associados
ASSOCIADOS	Acompanhar o ciclo de vida do associado
ASSOCIADOS	Atualizar dados e estados dos associados
ASSOCIADOS	Responder a dúvidas sobre adesão, acesso e funcionamento
ASSOCIADOS	Gerir pedidos de alteração, suspensão ou regularização
ASSOCIADOS	Criar experiências de acolhimento e ativação
ASSOCIADOS	Campanhas de conversão de pré-inscritos em associados
ASSOCIADOS	Identificar causas de abandono ou inatividade
ASSOCIADOS	Segmentar associados para melhor acompanhamento
ASSOCIADOS	Articular com Financeiro os fluxos de quotas e donativos
CIENTÍFICO	Definir prioridades temáticas
CIENTÍFICO	Validar rigor técnico-científico
CIENTÍFICO	Rever conteúdos
CIENTÍFICO	Produzir materiais de referência
CIENTÍFICO	Promover literacia em PHDA
CIENTÍFICO	Definir critérios e posições técnicas
CIENTÍFICO	Garantir qualidade e fiabilidade da informação publicada
CIENTÍFICO	Apoiar produção de FAQs, guias e materiais explicativos
CIENTÍFICO	Delimitar o que a Brainstorm recomenda ou não recomenda
CIENTÍFICO	Apoiar enquadramento técnico de campanhas e iniciativas
CIENTÍFICO	Estruturar temas prioritários para comunicação e formação
CIENTÍFICO	Rever conteúdos sobre saúde, educação, direitos e inclusão
CIENTÍFICO	Apoiar estudos, pareceres e reflexão técnica
