COORDENAÇÃO	Articular áreas e responsáveis	Jorge Magalhães Vieira
COORDENAÇÃO	Acompanhar execução transversal	Jorge Magalhães Vieira
COORDENAÇÃO	Controlar o trabalho em curso	Jorge Magalhães Vieira
COORDENAÇÃO	Identificar bloqueios, atrasos e dependências	Jorge Magalhães Vieira
COORDENAÇÃO	Reportar à Direção	Jorge Magalhães Vieira
COORDENAÇÃO	Traduzir decisões da Direção em planos de execução	Jorge Magalhães Vieira
COORDENAÇÃO	Garantir follow-up de tarefas e prazos	Jorge Magalhães Vieira
COORDENAÇÃO	Assegurar que nada crítico fica sem responsável	Jorge Magalhães Vieira
COORDENAÇÃO	Coordenar iniciativas que envolvem várias áreas	Jorge Magalhães Vieira
COORDENAÇÃO	Sinalizar riscos operacionais e necessidades de reforço	Jorge Magalhães Vieira
COORDENAÇÃO	Organizar informação de estado da associação	Jorge Magalhães Vieira
COORDENAÇÃO	Preparar sínteses executivas para apoio à decisão	Jorge Magalhães Vieira
ASSOCIADOS	Operacionalizar conversão e retenção de associados	Voluntário Associados
ASSOCIADOS	Validar inscrições	Voluntário Associados
ASSOCIADOS	Fazer onboarding (boas vindas + ativar portal)	Voluntário Associados
ASSOCIADOS	Apoiar associados	Voluntário Associados
ASSOCIADOS	Gerir a relação funcional com os associados	Voluntário Associados
ASSOCIADOS	Acompanhar o ciclo de vida do associado	Voluntário Associados
ASSOCIADOS	Atualizar dados e estados dos associados	Voluntário Associados
ASSOCIADOS	Responder a dúvidas sobre adesão, acesso e funcionamento	Voluntário Associados
ASSOCIADOS	Gerir pedidos de alteração, suspensão ou regularização	Voluntário Associados
ASSOCIADOS	Criar experiências de acolhimento e ativação	Voluntário Associados
ASSOCIADOS	Campanhas de conversão de pré-inscritos em associados	Voluntário Associados
ASSOCIADOS	Identificar causas de abandono ou inatividade	Voluntário Associados
ASSOCIADOS	Segmentar associados para melhor acompanhamento	Voluntário Associados
ASSOCIADOS	Articular com Financeiro os fluxos de quotas e donativos	Voluntário Associados
CIENTÍFICO	Definir prioridades temáticas	Voluntário Científico
CIENTÍFICO	Validar rigor técnico-científico	Voluntário Científico
CIENTÍFICO	Rever conteúdos	Voluntário Científico
CIENTÍFICO	Produzir materiais de referência	Voluntário Científico
CIENTÍFICO	Promover literacia em PHDA	Voluntário Científico
CIENTÍFICO	Definir critérios e posições técnicas	Voluntário Científico
CIENTÍFICO	Garantir qualidade e fiabilidade da informação publicada	Voluntário Científico
CIENTÍFICO	Apoiar produção de FAQs, guias e materiais explicativos	Voluntário Científico
CIENTÍFICO	Delimitar o que a Brainstorm recomenda ou não recomenda	Voluntário Científico
CIENTÍFICO	Apoiar enquadramento técnico de campanhas e iniciativas	Voluntário Científico
CIENTÍFICO	Estruturar temas prioritários para comunicação e formação	Voluntário Científico
CIENTÍFICO	Rever conteúdos sobre saúde, educação, direitos e inclusão	Voluntário Científico
CIENTÍFICO	Apoiar estudos, pareceres e reflexão técnica	Voluntário Científico
CIENTÍFICO	Distinguir evidência, opinião e testemunho pessoal	Voluntário Científico
CIENTÍFICO	Atualizar critérios à luz de nova evidência ou novas necessidades	Voluntário Científico
COMUNICAÇÃO E MARKETING	Gerir marca e identidade	Voluntário Marketing
COMUNICAÇÃO E MARKETING	Planear campanhas	Voluntário Marketing
COMUNICAÇÃO E MARKETING	Gerir redes sociais	Voluntário Marketing
COMUNICAÇÃO E MARKETING	Produzir conteúdos editoriais e de comunicação	Voluntário Marketing
COMUNICAÇÃO E MARKETING	Enviar newsletters e email marketing	Voluntário Marketing
COMUNICAÇÃO E MARKETING	Apoiar captação e engagement de associados	Voluntário Marketing
COMUNICAÇÃO E MARKETING	Definir pilares de comunicação	Voluntário Marketing
COMUNICAÇÃO E MARKETING	Adaptar mensagens a diferentes públicos	Voluntário Marketing
COMUNICAÇÃO E MARKETING	Coordenar calendários editoriais e de campanhas	Voluntário Marketing
COMUNICAÇÃO E MARKETING	Criar conteúdos de awareness, conversão e retenção	Voluntário Marketing
COMUNICAÇÃO E MARKETING	Desenvolver materiais de divulgação e apresentação	Voluntário Marketing
COMUNICAÇÃO E MARKETING	Gerir presença digital corrente da marca	Voluntário Marketing
COMUNICAÇÃO E MARKETING	Criar loops entre redes, site, newsletter e associação	Voluntário Marketing
COMUNICAÇÃO E MARKETING	Medir desempenho de campanhas e conteúdos	Voluntário Marketing
COMUNICAÇÃO E MARKETING	Ajustar formatos, tom e CTAs com base nos resultados	Voluntário Marketing
COMUNIDADE WHATSAPP	Organizar a comunidade	Voluntário Comunidade Whatsapp
COMUNIDADE WHATSAPP	Estruturar grupos temáticos	Voluntário Comunidade Whatsapp
